Name,Type,Total,Bank,Radio,Television,ComputerInternet,ComputerNoInternet,Landline,Mobile,Both,Bicycle,Scooter,Car
District - Hamirpur,Total," 105,068 "," 96,839 "," 23,628 "," 86,324 "," 2,521 "," 5,004 "," 16,840 "," 53,918 "," 19,528 "," 7,094 "," 16,955 "," 6,665 "
District - Hamirpur,Rural," 97,893 "," 90,359 "," 21,374 "," 80,028 "," 1,784 "," 3,995 "," 16,269 "," 49,645 "," 17,898 "," 5,908 "," 14,517 "," 5,039 "
District - Hamirpur,Urban," 7,175 "," 6,480 "," 2,254 "," 6,296 ", 737 ," 1,009 ", 571 ," 4,273 "," 1,630 "," 1,186 "," 2,438 "," 1,626 "
District - Una,Total," 109,699 "," 97,137 "," 19,820 "," 88,894 "," 2,412 "," 5,826 "," 7,736 "," 70,217 "," 12,776 "," 41,378 "," 36,913 "," 8,059 "
District - Una,Rural," 99,791 "," 89,208 "," 17,834 "," 80,815 "," 1,893 "," 4,846 "," 7,215 "," 63,863 "," 11,221 "," 37,383 "," 32,450 "," 6,592 "
District - Una,Urban," 9,908 "," 7,929 "," 1,986 "," 8,079 ", 519 , 980 , 521 ," 6,354 "," 1,555 "," 3,995 "," 4,463 "," 1,467 "
District - Bilaspur,Total," 80,453 "," 68,433 "," 14,900 "," 61,392 "," 1,574 "," 4,707 "," 7,650 "," 47,001 "," 12,284 "," 5,387 "," 11,397 "," 6,573 "
District - Bilaspur,Rural," 74,661 "," 63,213 "," 13,402 "," 56,292 "," 1,159 "," 3,919 "," 7,357 "," 43,277 "," 10,814 "," 4,736 "," 9,574 "," 5,119 "
District - Bilaspur,Urban," 5,792 "," 5,220 "," 1,498 "," 5,100 ", 415 , 788 , 293 ," 3,724 "," 1,470 ", 651 ," 1,823 "," 1,454 "
District - Solan,Total," 123,353 "," 104,254 "," 38,632 "," 94,692 "," 5,250 "," 9,228 "," 10,150 "," 76,524 "," 22,025 "," 12,426 "," 25,275 "," 15,117 "
District - Solan,Rural," 97,237 "," 81,719 "," 31,851 "," 75,020 "," 2,657 "," 5,674 "," 9,123 "," 58,055 "," 17,628 "," 10,322 "," 19,203 "," 10,174 "
District - Solan,Urban," 26,116 "," 22,535 "," 6,781 "," 19,672 "," 2,593 "," 3,554 "," 1,027 "," 18,469 "," 4,397 "," 2,104 "," 6,072 "," 4,943 "
District - Sirmaur,Total," 97,090 "," 78,937 "," 26,363 "," 58,902 "," 2,220 "," 6,373 "," 5,229 "," 62,390 "," 7,787 "," 16,691 "," 17,523 "," 7,459 "
District - Sirmaur,Rural," 84,317 "," 67,654 "," 23,292 "," 47,861 ", 931 ," 4,179 "," 4,076 "," 54,178 "," 5,331 "," 13,915 "," 12,437 "," 4,650 "
District - Sirmaur,Urban," 12,773 "," 11,283 "," 3,071 "," 11,041 "," 1,289 "," 2,194 "," 1,153 "," 8,212 "," 2,456 "," 2,776 "," 5,086 "," 2,809 "
District - Shimla,Total," 180,770 "," 153,347 "," 70,807 "," 131,450 "," 9,177 "," 14,950 "," 6,859 "," 125,896 "," 28,920 "," 2,813 "," 8,186 "," 23,107 "
District - Shimla,Rural," 130,864 "," 107,468 "," 51,688 "," 88,981 "," 2,168 "," 6,293 "," 5,031 "," 91,203 "," 17,318 "," 1,159 "," 4,035 "," 11,355 "
District - Shimla,Urban," 49,906 "," 45,879 "," 19,119 "," 42,469 "," 7,009 "," 8,657 "," 1,828 "," 34,693 "," 11,602 "," 1,654 "," 4,151 "," 11,752 "
District - Kinnaur,Total," 19,535 "," 17,044 "," 6,453 "," 12,925 ", 354 ," 2,209 ", 923 ," 12,885 "," 2,660 ", 190 , 857 ," 2,775 "
District - Kinnaur,Rural," 19,535 "," 17,044 "," 6,453 "," 12,925 ", 354 ," 2,209 ", 923 ," 12,885 "," 2,660 ", 190 , 857 ," 2,775 "
District - Kinnaur,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
District - Gurdaspur,Total," 431,212 "," 288,264 "," 49,368 "," 365,644 "," 14,428 "," 24,017 "," 50,731 "," 235,958 "," 49,386 "," 280,874 "," 194,705 "," 32,484 "
District - Gurdaspur,Rural," 309,898 "," 200,737 "," 35,592 "," 255,348 "," 5,398 "," 12,274 "," 36,779 "," 169,153 "," 28,908 "," 217,302 "," 133,669 "," 16,874 "
District - Gurdaspur,Urban," 121,314 "," 87,527 "," 13,776 "," 110,296 "," 9,030 "," 11,743 "," 13,952 "," 66,805 "," 20,478 "," 63,572 "," 61,036 "," 15,610 "
District - Kapurthala,Total," 165,336 "," 126,450 "," 37,410 "," 144,945 "," 9,732 "," 13,413 "," 10,324 "," 110,664 "," 24,128 "," 107,044 "," 90,508 "," 23,561 "
District - Kapurthala,Rural," 106,870 "," 80,377 "," 23,367 "," 92,415 "," 3,085 "," 5,823 "," 5,611 "," 73,885 "," 12,910 "," 73,672 "," 57,745 "," 12,960 "
District - Kapurthala,Urban," 58,466 "," 46,073 "," 14,043 "," 52,530 "," 6,647 "," 7,590 "," 4,713 "," 36,779 "," 11,218 "," 33,372 "," 32,763 "," 10,601 "
District - Jalandhar,Total," 454,073 "," 342,469 "," 132,632 "," 401,189 "," 39,082 "," 40,052 "," 32,474 "," 283,455 "," 79,140 "," 286,365 "," 238,203 "," 72,374 "
District - Jalandhar,Rural," 213,390 "," 161,303 "," 53,203 "," 185,071 "," 7,174 "," 13,039 "," 15,161 "," 131,836 "," 34,751 "," 151,521 "," 107,815 "," 25,624 "
District - Jalandhar,Urban," 240,683 "," 181,166 "," 79,429 "," 216,118 "," 31,908 "," 27,013 "," 17,313 "," 151,619 "," 44,389 "," 134,844 "," 130,388 "," 46,750 "
District - Hoshiarpur,Total," 329,694 "," 273,665 "," 62,295 "," 285,904 "," 13,747 "," 20,581 "," 24,372 "," 194,786 "," 59,253 "," 227,316 "," 166,862 "," 33,720 "
District - Hoshiarpur,Rural," 258,523 "," 216,262 "," 49,198 "," 222,260 "," 6,255 "," 12,407 "," 18,272 "," 154,296 "," 43,689 "," 185,673 "," 127,475 "," 21,048 "
District - Hoshiarpur,Urban," 71,171 "," 57,403 "," 13,097 "," 63,644 "," 7,492 "," 8,174 "," 6,100 "," 40,490 "," 15,564 "," 41,643 "," 39,387 "," 12,672 "
District - Shahid Bhagat Singh Nagar,Total," 128,634 "," 104,018 "," 27,564 "," 109,258 "," 5,264 "," 8,672 "," 12,153 "," 72,838 "," 25,391 "," 91,772 "," 64,143 "," 14,456 "
District - Shahid Bhagat Singh Nagar,Rural," 102,297 "," 83,332 "," 21,301 "," 86,289 "," 3,025 "," 5,966 "," 10,306 "," 57,637 "," 19,863 "," 76,289 "," 51,321 "," 10,310 "
District - Shahid Bhagat Singh Nagar,Urban," 26,337 "," 20,686 "," 6,263 "," 22,969 "," 2,239 "," 2,706 "," 1,847 "," 15,201 "," 5,528 "," 15,483 "," 12,822 "," 4,146 "
District - Fatehgarh Sahib,Total," 115,753 "," 83,408 "," 13,863 "," 98,080 "," 5,138 "," 9,156 "," 6,773 "," 75,475 "," 16,153 "," 84,834 "," 63,700 "," 18,239 "
District - Fatehgarh Sahib,Rural," 77,684 "," 55,475 "," 8,863 "," 66,020 "," 1,860 "," 4,545 "," 4,902 "," 49,699 "," 10,773 "," 62,250 "," 43,806 "," 11,231 "
District - Fatehgarh Sahib,Urban," 38,069 "," 27,933 "," 5,000 "," 32,060 "," 3,278 "," 4,611 "," 1,871 "," 25,776 "," 5,380 "," 22,584 "," 19,894 "," 7,008 "
District - Ludhiana,Total," 716,104 "," 465,442 "," 121,375 "," 604,959 "," 58,589 "," 64,811 "," 57,191 "," 433,701 "," 115,834 "," 461,137 "," 360,662 "," 120,172 "
District - Ludhiana,Rural," 278,323 "," 181,934 "," 41,815 "," 232,201 "," 9,987 "," 17,717 "," 26,814 "," 150,993 "," 52,080 "," 214,737 "," 141,448 "," 39,070 "
District - Ludhiana,Urban," 437,781 "," 283,508 "," 79,560 "," 372,758 "," 48,602 "," 47,094 "," 30,377 "," 282,708 "," 63,754 "," 246,400 "," 219,214 "," 81,102 "
District - Moga,Total," 191,228 "," 109,618 "," 31,170 "," 152,610 "," 7,897 "," 13,765 "," 10,114 "," 123,059 "," 22,668 "," 140,084 "," 85,167 "," 26,253 "
District - Moga,Rural," 145,530 "," 79,830 "," 24,397 "," 113,775 "," 3,757 "," 7,844 "," 7,412 "," 94,214 "," 14,925 "," 112,505 "," 62,423 "," 18,048 "
District - Moga,Urban," 45,698 "," 29,788 "," 6,773 "," 38,835 "," 4,140 "," 5,921 "," 2,702 "," 28,845 "," 7,743 "," 27,579 "," 22,744 "," 8,205 "
District - Firozpur,Total," 374,167 "," 197,342 "," 48,714 "," 277,615 "," 10,042 "," 21,028 "," 14,135 "," 241,473 "," 35,063 "," 237,901 "," 148,610 "," 37,105 "
District - Firozpur,Rural," 271,536 "," 134,157 "," 36,619 "," 189,289 "," 3,655 "," 9,928 "," 9,685 "," 176,510 "," 19,846 "," 183,339 "," 101,030 "," 24,133 "
District - Firozpur,Urban," 102,631 "," 63,185 "," 12,095 "," 88,326 "," 6,387 "," 11,100 "," 4,450 "," 64,963 "," 15,217 "," 54,562 "," 47,580 "," 12,972 "
District - Muktsar,Total," 172,792 "," 92,879 "," 27,409 "," 130,482 "," 4,571 "," 9,506 "," 5,945 "," 110,506 "," 18,693 "," 109,666 "," 62,205 "," 23,185 "
District - Muktsar,Rural," 122,957 "," 65,117 "," 22,171 "," 88,601 "," 1,772 "," 4,141 "," 4,114 "," 78,012 "," 11,915 "," 81,694 "," 42,654 "," 16,149 "
District - Muktsar,Urban," 49,835 "," 27,762 "," 5,238 "," 41,881 "," 2,799 "," 5,365 "," 1,831 "," 32,494 "," 6,778 "," 27,972 "," 19,551 "," 7,036 "
