Name,Type,Total,TapwaterTreated,TapwaterUntreated,CoveredWell,UncoveredWell,Handpump,Tubewell,Spring,River,Tank,Other
District - Kokrajhar,Urban," 11,793 ", 593 , 274 , 247 ," 3,542 "," 4,480 "," 2,594 ", 2 , 15 , 1 , 45 
District - Dhubri,Total," 414,689 "," 6,139 "," 1,737 "," 1,575 "," 21,276 "," 315,294 "," 34,613 "," 2,392 "," 9,235 "," 1,485 "," 20,943 "
District - Dhubri,Rural," 370,734 "," 3,373 ", 974 ," 1,285 "," 19,043 "," 286,305 "," 26,863 "," 2,363 "," 9,153 "," 1,468 "," 19,907 "
District - Dhubri,Urban," 43,955 "," 2,766 ", 763 , 290 ," 2,233 "," 28,989 "," 7,750 ", 29 , 82 , 17 ," 1,036 "
District - Goalpara,Total," 197,545 "," 2,949 "," 1,252 "," 1,803 "," 53,175 "," 117,422 "," 9,092 "," 2,042 "," 3,609 ", 138 ," 6,063 "
District - Goalpara,Rural," 168,874 "," 1,949 ", 782 ," 1,295 "," 48,002 "," 99,500 "," 6,567 "," 1,889 "," 3,408 ", 127 ," 5,355 "
District - Goalpara,Urban," 28,671 "," 1,000 ", 470 , 508 ," 5,173 "," 17,922 "," 2,525 ", 153 , 201 , 11 , 708 
District - Barpeta,Total," 338,472 "," 4,550 "," 1,416 "," 1,659 "," 12,995 "," 276,008 "," 20,547 ", 479 ," 7,691 ", 976 ," 12,151 "
District - Barpeta,Rural," 306,688 "," 1,899 "," 1,098 "," 1,466 "," 11,956 "," 250,710 "," 18,648 ", 477 ," 7,661 ", 968 ," 11,805 "
District - Barpeta,Urban," 31,784 "," 2,651 ", 318 , 193 ," 1,039 "," 25,298 "," 1,899 ", 2 , 30 , 8 , 346 
District - Marigaon,Total," 185,523 "," 5,245 ", 754 ," 1,288 "," 15,187 "," 152,512 "," 2,512 ", 342 ," 2,438 ", 541 ," 4,704 "
District - Marigaon,Rural," 169,007 "," 3,060 ", 603 , 904 ," 11,455 "," 143,287 "," 1,952 ", 274 ," 2,426 ", 535 ," 4,511 "
District - Marigaon,Urban," 16,516 "," 2,185 ", 151 , 384 ," 3,732 "," 9,225 ", 560 , 68 , 12 , 6 , 193 
District - Nagaon,Total," 560,857 "," 28,787 "," 4,423 "," 4,551 "," 58,447 "," 401,300 "," 35,623 "," 2,584 "," 8,543 "," 4,760 "," 11,839 "
District - Nagaon,Rural," 480,208 "," 14,222 "," 3,422 "," 3,927 "," 50,400 "," 355,886 "," 25,911 "," 2,564 "," 8,339 "," 4,466 "," 11,071 "
District - Nagaon,Urban," 80,649 "," 14,565 "," 1,001 ", 624 ," 8,047 "," 45,414 "," 9,712 ", 20 , 204 , 294 , 768 
District - Sonitpur,Total," 386,899 "," 28,449 "," 4,999 "," 6,573 "," 186,802 "," 118,961 "," 16,215 "," 2,739 "," 15,114 "," 1,749 "," 5,298 "
District - Sonitpur,Rural," 346,401 "," 20,067 "," 3,982 "," 4,591 "," 170,178 "," 112,008 "," 11,208 "," 2,703 "," 14,865 "," 1,685 "," 5,114 "
District - Sonitpur,Urban," 40,498 "," 8,382 "," 1,017 "," 1,982 "," 16,624 "," 6,953 "," 5,007 ", 36 , 249 , 64 , 184 
District - Lakhimpur,Total," 203,272 "," 8,960 "," 1,977 "," 3,005 "," 74,157 "," 77,255 "," 23,337 ", 506 ," 8,173 "," 3,820 "," 2,082 "
District - Lakhimpur,Rural," 181,790 "," 4,791 "," 1,115 "," 2,414 "," 69,118 "," 69,946 "," 19,935 ", 505 ," 8,144 "," 3,812 "," 2,010 "
District - Lakhimpur,Urban," 21,482 "," 4,169 ", 862 , 591 ," 5,039 "," 7,309 "," 3,402 ", 1 , 29 , 8 , 72 
District - Dhemaji,Total," 129,559 "," 2,374 ", 591 , 755 ," 9,430 "," 65,838 "," 36,334 ", 409 ," 7,501 "," 3,574 "," 2,753 "
District - Dhemaji,Rural," 119,112 "," 1,732 ", 506 , 681 ," 9,046 "," 61,260 "," 31,688 ", 408 ," 7,493 "," 3,571 "," 2,727 "
District - Dhemaji,Urban," 10,447 ", 642 , 85 , 74 , 384 ," 4,578 "," 4,646 ", 1 , 8 , 3 , 26 
District - Tinsukia,Total," 268,383 "," 20,843 "," 4,543 "," 1,762 "," 12,270 "," 164,902 "," 57,599 ", 728 ," 2,163 "," 1,025 "," 2,548 "
District - Tinsukia,Rural," 209,603 "," 8,096 "," 1,465 "," 1,545 "," 11,124 "," 140,116 "," 41,599 ", 581 ," 2,059 ", 815 ," 2,203 "
District - Tinsukia,Urban," 58,780 "," 12,747 "," 3,078 ", 217 ," 1,146 "," 24,786 "," 16,000 ", 147 , 104 , 210 , 345 
District - Dibrugarh,Total," 272,941 "," 25,069 "," 4,639 "," 1,077 "," 8,469 "," 162,642 "," 65,235 ", 264 ," 1,931 ", 665 ," 2,950 "
District - Dibrugarh,Rural," 218,256 "," 7,504 "," 2,310 ", 937 ," 8,364 "," 143,414 "," 50,238 ", 246 ," 1,811 ", 632 ," 2,800 "
District - Dibrugarh,Urban," 54,685 "," 17,565 "," 2,329 ", 140 , 105 ," 19,228 "," 14,997 ", 18 , 120 , 33 , 150 
District - Sivasagar,Total," 246,983 "," 43,221 "," 6,176 "," 1,365 "," 13,465 "," 104,831 "," 47,404 ", 437 ," 6,796 "," 21,332 "," 1,956 "
District - Sivasagar,Rural," 220,760 "," 34,038 "," 5,432 "," 1,277 "," 13,324 "," 96,056 "," 41,009 ", 431 ," 6,244 "," 21,101 "," 1,848 "
District - Sivasagar,Urban," 26,223 "," 9,183 ", 744 , 88 , 141 ," 8,775 "," 6,395 ", 6 , 552 , 231 , 108 
District - Jorhat,Total," 233,118 "," 60,115 "," 5,470 "," 1,967 "," 15,163 "," 71,839 "," 36,039 ", 325 ," 6,943 "," 34,072 "," 1,185 "
District - Jorhat,Rural," 181,811 "," 29,807 "," 4,195 "," 1,333 "," 13,252 "," 64,545 "," 29,896 ", 268 ," 6,197 "," 31,570 ", 748 
District - Jorhat,Urban," 51,307 "," 30,308 "," 1,275 ", 634 ," 1,911 "," 7,294 "," 6,143 ", 57 , 746 ," 2,502 ", 437 
District - Golaghat,Total," 224,853 "," 28,508 "," 3,298 "," 1,423 "," 12,162 "," 121,953 "," 43,628 ", 485 ," 3,442 "," 8,486 "," 1,468 "
District - Golaghat,Rural," 202,469 "," 22,149 "," 3,100 "," 1,345 "," 12,121 "," 110,745 "," 39,235 ", 482 ," 3,434 "," 8,456 "," 1,402 "
District - Golaghat,Urban," 22,384 "," 6,359 ", 198 , 78 , 41 ," 11,208 "," 4,393 ", 3 , 8 , 30 , 66 
District - Karbi Anglong,Total," 176,991 "," 8,124 "," 4,039 "," 8,135 "," 66,089 "," 40,995 "," 14,978 "," 15,916 "," 11,180 "," 3,965 "," 3,570 "
District - Karbi Anglong,Rural," 152,873 "," 4,443 "," 3,500 "," 6,390 "," 55,293 "," 36,650 "," 12,855 "," 15,700 "," 11,082 "," 3,892 "," 3,068 "
