Name,Type,Total,Grass,Plastic,Mud,Wood,Stone,StoneMortar,Metal,BurntBrick,Concrete,Other
District - Lower Dibang Valley,Urban,"3,621",750,25,36,159,10,4,11,217,384,"2,025"
District - Lohit,Total,"41,938","28,143",416,882,"4,310",348,990,277,"1,416","3,369","1,787"
District - Lohit,Rural,"31,768","23,870",353,613,"3,083",126,616,113,796,"1,324",874
District - Lohit,Urban,"10,170","4,273",63,269,"1,227",222,374,164,620,"2,045",913
District - Anjaw,Total,"5,719","3,786",176,19,596,76,37,162,19,549,299
District - Anjaw,Rural,"5,413","3,581",174,19,564,26,27,156,18,549,299
District - Anjaw,Urban,306,205,2,0,32,50,10,6,1,0,0
STATE - ASSAM,Total,"8,756,707","5,775,808","58,346","270,296","154,807","63,421","131,039","120,323","1,814,422","266,437","101,808"
STATE - ASSAM,Rural,"7,400,278","5,354,964","48,789","239,983","123,233","38,911","67,295","97,835","1,207,579","129,355","92,334"
STATE - ASSAM,Urban,"1,356,429","420,844","9,557","30,313","31,574","24,510","63,744","22,488","606,843","137,082","9,474"
District - Kokrajhar,Total,"217,268","134,875","3,137","14,928","9,781","2,304","2,389","6,387","30,489","8,371","4,607"
District - Kokrajhar,Rural,"201,422","131,726","3,028","14,576","8,774","1,512","1,737","5,744","24,182","5,779","4,364"
District - Kokrajhar,Urban,"15,846","3,149",109,352,"1,007",792,652,643,"6,307","2,592",243
District - Dhubri,Total,"512,100","361,707","3,645","9,736","7,530","3,151","4,006","44,677","53,633","14,591","9,424"
District - Dhubri,Rural,"455,127","342,182","3,166","8,385","5,172","2,013","2,254","40,458","34,748","8,654","8,095"
District - Dhubri,Urban,"56,973","19,525",479,"1,351","2,358","1,138","1,752","4,219","18,885","5,937","1,329"
District - Goalpara,Total,"261,596","178,889","1,084","5,969","5,123","1,374","2,528","9,353","46,511","8,874","1,891"
District - Goalpara,Rural,"224,331","161,016",883,"5,354","4,365",933,"1,882","8,772","33,082","6,405","1,639"
District - Goalpara,Urban,"37,265","17,873",201,615,758,441,646,581,"13,429","2,469",252
District - Barpeta,Total,"487,333","368,891","2,715","3,980","5,031","2,087","2,810","21,358","60,735","14,898","4,828"
District - Barpeta,Rural,"439,068","354,533","2,353","3,253","4,051","1,124","2,287","19,233","39,870","7,887","4,477"
District - Barpeta,Urban,"48,265","14,358",362,727,980,963,523,"2,125","20,865","7,011",351
District - Marigaon,Total,"251,219","183,315","1,053","8,196","3,481","1,206","2,135",945,"42,634","3,489","4,765"
District - Marigaon,Rural,"227,894","173,947",906,"7,764","2,876",866,"1,761",696,"31,535","2,852","4,691"
District - Marigaon,Urban,"23,325","9,368",147,432,605,340,374,249,"11,099",637,74
District - Nagaon,Total,"772,078","508,398","4,066","28,174","21,289","6,798","16,345","2,789","149,002","26,278","8,939"
District - Nagaon,Rural,"657,628","463,309","3,432","25,332","16,444","4,186","8,572","1,378","114,167","13,081","7,727"
District - Nagaon,Urban,"114,450","45,089",634,"2,842","4,845","2,612","7,773","1,411","34,835","13,197","1,212"
District - Sonitpur,Total,"529,241","332,775","3,669","22,611","6,595","3,022","7,764","1,812","125,924","22,798","2,271"
