Name,Type,Total,Grass,Plastic,HandmadeTiles,MachinemadeTiles,BurntBrick,Stone,Metal,Concrete,Other
District - Lakhimpur,Urban,"31,136",716,179,154,15,46,382,"26,211","3,409",24
District - Dhemaji,Total,"222,660","104,980",883,465,116,133,"1,035","113,028","1,660",360
District - Dhemaji,Rural,"207,661","102,794",838,400,55,92,629,"101,832",668,353
District - Dhemaji,Urban,"14,999","2,186",45,65,61,41,406,"11,196",992,7
District - Tinsukia,Total,"361,608","107,896","2,094","1,760",192,570,"4,489","230,184","13,797",626
District - Tinsukia,Rural,"280,122","101,810","1,246","1,200",114,309,"2,556","170,426","2,020",441
District - Tinsukia,Urban,"81,486","6,086",848,560,78,261,"1,933","59,758","11,777",185
District - Dibrugarh,Total,"362,912","76,946","1,133","1,263",189,925,"7,016","254,183","19,149","2,108"
District - Dibrugarh,Rural,"291,128","73,397",608,"1,001",104,404,"3,267","205,714","4,697","1,936"
District - Dibrugarh,Urban,"71,784","3,549",525,262,85,521,"3,749","48,469","14,452",172
District - Sivasagar,Total,"385,234","57,681",526,"1,008",187,439,"4,662","300,580","18,218","1,933"
District - Sivasagar,Rural,"346,450","57,226",464,906,125,364,"3,130","273,808","8,584","1,843"
District - Sivasagar,Urban,"38,784",455,62,102,62,75,"1,532","26,772","9,634",90
District - Jorhat,Total,"350,089","45,364",706,"2,266",358,449,"4,627","280,513","14,942",864
District - Jorhat,Rural,"277,610","44,347",590,"1,728",176,257,"2,340","225,200","2,325",647
District - Jorhat,Urban,"72,479","1,017",116,538,182,192,"2,287","55,313","12,617",217
District - Golaghat,Total,"314,210","54,957",488,827,118,283,"2,154","250,562","4,332",489
District - Golaghat,Rural,"283,147","54,402",446,738,95,201,"1,560","223,944","1,324",437
District - Golaghat,Urban,"31,063",555,42,89,23,82,594,"26,618","3,008",52
District - Karbi Anglong,Total,"239,095","90,995",647,"2,287",363,439,985,"139,862","3,032",485
District - Karbi Anglong,Rural,"206,090","88,592",542,"1,880",351,372,818,"112,004","1,117",414
District - Karbi Anglong,Urban,"33,005","2,403",105,407,12,67,167,"27,858","1,915",71
District - Dima Hasao,Total,"54,378","16,005",417,540,73,132,549,"35,034","1,572",56
District - Dima Hasao,Rural,"35,292","14,842",225,329,57,76,192,"19,339",192,40
District - Dima Hasao,Urban,"19,086","1,163",192,211,16,56,357,"15,695","1,380",16
District - Cachar,Total,"424,685","92,153","15,484","3,487","2,257","1,114","7,188","276,373","24,893","1,736"
District - Cachar,Rural,"340,159","86,225","13,644","2,946","1,955",786,"3,042","224,750","5,654","1,157"
District - Cachar,Urban,"84,526","5,928","1,840",541,302,328,"4,146","51,623","19,239",579
District - Karimganj,Total,"288,455","91,047","4,831","2,148",916,643,"3,501","172,005","11,242","2,122"
District - Karimganj,Rural,"257,615","89,284","4,180","1,972",719,531,"2,211","152,011","4,765","1,942"
District - Karimganj,Urban,"30,840","1,763",651,176,197,112,"1,290","19,994","6,477",180
District - Hailakandi,Total,"172,484","49,747","5,649","2,191",574,289,"1,096","108,157","3,858",923
District - Hailakandi,Rural,"157,197","48,792","5,473","1,941",530,264,749,"96,841","1,810",797
District - Hailakandi,Urban,"15,287",955,176,250,44,25,347,"11,316","2,048",126
District - Bongaigaon,Total,"211,659","14,118","9,990","2,687",756,535,"1,091","174,951","6,978",553
District - Bongaigaon,Rural,"176,877","13,646","9,572","2,165",662,416,684,"148,815",467,450
District - Bongaigaon,Urban,"34,782",472,418,522,94,119,407,"26,136","6,511",103
District - Chirang,Total,"137,215","21,284","9,514","1,393",733,342,724,"101,985","1,010",230
District - Chirang,Rural,"126,241","21,107","9,108","1,182",611,311,600,"92,333",781,208
District - Chirang,Urban,"10,974",177,406,211,122,31,124,"9,652",229,22
District - Kamrup,Total,"421,214","60,866","4,180","2,385",328,439,"2,410","344,580","4,345","1,681"
District - Kamrup,Rural,"379,960","59,752","4,013","2,271",276,370,"1,920","307,982","1,930","1,446"
District - Kamrup,Urban,"41,254","1,114",167,114,52,69,490,"36,598","2,415",235
District - Kamrup Metropolitan,Total,"385,104","12,432","1,095","1,473",485,"1,247","10,217","263,578","94,203",374
District - Kamrup Metropolitan,Rural,"57,617","9,250",277,199,28,51,557,"45,810","1,409",36
District - Kamrup Metropolitan,Urban,"327,487","3,182",818,"1,274",457,"1,196","9,660","217,768","92,794",338
District - Nalbari,Total,"232,724","34,243","7,555",582,30,289,486,"187,405","2,055",79
District - Nalbari,Rural,"206,049","33,808","7,115",406,21,167,409,"163,294",760,69
District - Nalbari,Urban,"26,675",435,440,176,9,122,77,"24,111","1,295",10
District - Baksa,Total,"288,713","52,486","30,514",885,50,275,"1,198","202,139",966,200
District - Baksa,Rural,"285,270","52,419","30,478",877,47,239,"1,137","198,948",930,195
District - Baksa,Urban,"3,443",67,36,8,3,36,61,"3,191",36,5
District - Darrang,Total,"282,204","65,693","9,899",465,77,250,"1,381","202,340","1,877",222
District - Darrang,Rural,"263,482","65,418","9,855",404,76,229,"1,042","185,694",548,216
District - Darrang,Urban,"18,722",275,44,61,1,21,339,"16,646","1,329",6
District - Udalguri,Total,"272,877","56,548","10,445","1,600",98,274,"1,280","201,450",978,204
District - Udalguri,Rural,"260,083","56,327","10,246","1,548",92,258,"1,168","189,483",768,193
District - Udalguri,Urban,"12,794",221,199,52,6,16,112,"11,967",210,11
STATE - BIHAR,Total,"22,783,067","7,656,471","283,575","4,031,787","210,681","1,615,410","1,236,476","2,412,593","5,234,365","101,709"
STATE - BIHAR,Rural,"20,264,455","7,328,862","253,897","3,765,533","181,105","1,452,856","1,091,751","2,193,346","3,908,191","88,914"
STATE - BIHAR,Urban,"2,518,612","327,609","29,678","266,254","29,576","162,554","144,725","219,247","1,326,174","12,795"
District - Pashchim Champaran,Total,"916,920","478,040","3,659","163,393","5,523","39,106","43,564","29,751","150,418","3,466"
District - Pashchim Champaran,Rural,"826,726","456,752","2,897","148,724","4,495","32,043","37,828","23,387","117,685","2,915"
District - Pashchim Champaran,Urban,"90,194","21,288",762,"14,669","1,028","7,063","5,736","6,364","32,733",551
District - Purba Champaran,Total,"1,225,719","576,016","5,920","209,976","9,950","39,541","67,037","50,839","260,602","5,838"
District - Purba Champaran,Rural,"1,130,610","552,862","5,187","199,422","8,844","35,881","59,466","44,023","219,880","5,045"
District - Purba Champaran,Urban,"95,109","23,154",733,"10,554","1,106","3,660","7,571","6,816","40,722",793
District - Sheohar,Total,"164,361","93,084",693,"27,276","1,152","4,233","4,446","4,758","28,212",507
District - Sheohar,Rural,"157,126","90,939",634,"26,119",995,"3,534","4,290","4,333","25,832",450
District - Sheohar,Urban,"7,235","2,145",59,"1,157",157,699,156,425,"2,380",57
District - Sitamarhi,Total,"843,749","337,901","5,476","264,887","7,627","26,026","33,476","12,427","153,513","2,416"
District - Sitamarhi,Rural,"796,760","327,916","5,126","256,484","7,398","23,301","30,011","10,394","133,850","2,280"
District - Sitamarhi,Urban,"46,989","9,985",350,"8,403",229,"2,725","3,465","2,033","19,663",136
District - Madhubani,Total,"1,068,295","471,289","6,192","111,808","17,415","24,427","28,134","193,188","210,164","5,678"
District - Madhubani,Rural,"1,029,304","462,480","5,856","109,482","16,704","21,707","26,223","186,759","194,670","5,423"
District - Madhubani,Urban,"38,991","8,809",336,"2,326",711,"2,720","1,911","6,429","15,494",255
District - Supaul,Total,"591,825","314,671","18,450","29,942","2,493","4,395","6,004","168,901","45,817","1,152"
District - Supaul,Rural,"565,683","304,525","17,874","28,972","2,440","4,157","5,784","163,495","37,301","1,135"
District - Supaul,Urban,"26,142","10,146",576,970,53,238,220,"5,406","8,516",17
District - Araria,Total,"695,693","278,992","14,458","12,996","2,246","6,687","9,391","318,793","49,796","2,334"
District - Araria,Rural,"653,875","271,499","13,747","6,293","1,888","5,537","7,848","309,024","36,027","2,012"
District - Araria,Urban,"41,818","7,493",711,"6,703",358,"1,150","1,543","9,769","13,769",322
District - Kishanganj,Total,"438,067","87,153","25,945","4,159","1,084","2,839","10,089","258,436","46,731","1,631"
District - Kishanganj,Rural,"397,181","81,400","23,793","2,210",857,"2,061","8,267","243,168","33,952","1,473"
District - Kishanganj,Urban,"40,886","5,753","2,152","1,949",227,778,"1,822","15,268","12,779",158
District - Purnia,Total,"785,947","329,151","13,442","21,183","4,064","8,868","10,790","313,560","82,576","2,313"
District - Purnia,Rural,"705,079","313,494","11,513","19,385","3,386","6,969","8,551","286,363","53,441","1,977"
District - Purnia,Urban,"80,868","15,657","1,929","1,798",678,"1,899","2,239","27,197","29,135",336
District - Katihar,Total,"725,787","221,254","5,369","152,962","15,389","9,097","10,941","210,920","97,512","2,343"
District - Katihar,Rural,"659,980","213,228","4,325","137,197","13,024","6,038","9,094","205,570","69,249","2,255"
District - Katihar,Urban,"65,807","8,026","1,044","15,765","2,365","3,059","1,847","5,350","28,263",88
District - Madhepura,Total,"503,483","244,714","11,874","62,289","6,694","3,778","6,841","104,064","61,657","1,572"
District - Madhepura,Rural,"481,155","239,808","11,541","58,814","6,149","3,536","6,152","99,719","53,987","1,449"
District - Madhepura,Urban,"22,328","4,906",333,"3,475",545,242,689,"4,345","7,670",123
District - Saharsa,Total,"461,608","229,792","6,882","107,220","3,502","4,259","5,506","27,527","75,718","1,202"
District - Saharsa,Rural,"426,006","226,286","6,320","95,922","3,082","3,370","4,633","23,718","61,692",983
District - Saharsa,Urban,"35,602","3,506",562,"11,298",420,889,873,"3,809","14,026",219
District - Darbhanga,Total,"973,103","298,965","25,603","290,554","11,686","24,316","18,116","87,507","212,367","3,989"
District - Darbhanga,Rural,"883,411","287,431","23,353","279,135","10,978","19,678","15,651","72,870","170,589","3,726"
