Name,Type,Total,Electricity,Kerosene,Solar,OtherOil,Other,None
District - Viluppuram,Total," 	804,343 "," 	748,444 "," 	51,517 ", 	571 ," 	1,174 ", 	376 ," 	2,261 "
District - Viluppuram,Rural," 	683,022 "," 	632,042 "," 	47,242 ", 	481 ," 	1,015 ", 	348 ," 	1,894 "
District - Viluppuram,Urban," 	121,321 "," 	116,402 "," 	4,275 ", 	90 , 	159 , 	28 , 	367 
District - Salem,Total," 	918,899 "," 	835,377 "," 	74,586 ", 	954 ," 	1,570 ", 	657 ," 	5,755 "
District - Salem,Rural," 	454,964 "," 	399,967 "," 	48,925 ", 	756 ," 	1,049 ", 	365 ," 	3,902 "
District - Salem,Urban," 	463,935 "," 	435,410 "," 	25,661 ", 	198 , 	521 , 	292 ," 	1,853 "
District - Namakkal,Total," 	477,757 "," 	441,044 "," 	32,504 ", 	392 , 	896 , 	287 ," 	2,634 "
District - Namakkal,Rural," 	284,156 "," 	256,681 "," 	24,236 ", 	334 , 	703 , 	219 ," 	1,983 "
District - Namakkal,Urban," 	193,601 "," 	184,363 "," 	8,268 ", 	58 , 	193 , 	68 , 	651 
District - Erode,Total," 	658,734 "," 	595,211 "," 	55,657 ", 	596 ," 	1,603 ", 	561 ," 	5,106 "
District - Erode,Rural," 	324,097 "," 	283,383 "," 	35,803 ", 	501 , 	909 , 	363 ," 	3,138 "
District - Erode,Urban," 	334,637 "," 	311,828 "," 	19,854 ", 	95 , 	694 , 	198 ," 	1,968 "
District - The Nilgiris,Total," 	198,922 "," 	180,261 "," 	17,303 ", 	193 , 	417 , 	113 , 	635 
District - The Nilgiris,Rural," 	84,366 "," 	76,550 "," 	7,146 ", 	118 , 	212 , 	38 , 	302 
District - The Nilgiris,Urban," 	114,556 "," 	103,711 "," 	10,157 ", 	75 , 	205 , 	75 , 	333 
District - Dindigul,Total," 	563,172 "," 	500,057 "," 	56,598 ", 	581 ," 	1,570 ", 	220 ," 	4,146 "
District - Dindigul,Rural," 	352,757 "," 	305,224 "," 	42,636 ", 	480 ," 	1,152 ", 	141 ," 	3,124 "
District - Dindigul,Urban," 	210,415 "," 	194,833 "," 	13,962 ", 	101 , 	418 , 	79 ," 	1,022 "
District - Karur,Total," 	287,848 "," 	264,949 "," 	20,942 ", 	139 , 	413 , 	77 ," 	1,328 "
District - Karur,Rural," 	168,830 "," 	152,603 "," 	14,822 ", 	107 , 	277 , 	51 , 	970 
District - Karur,Urban," 	119,018 "," 	112,346 "," 	6,120 ", 	32 , 	136 , 	26 , 	358 
District - Tiruchirappalli,Total," 	700,852 "," 	651,621 "," 	44,878 ", 	273 , 	882 , 	265 ," 	2,933 "
District - Tiruchirappalli,Rural," 	358,811 "," 	321,989 "," 	33,751 ", 	167 , 	639 , 	154 ," 	2,111 "
District - Tiruchirappalli,Urban," 	342,041 "," 	329,632 "," 	11,127 ", 	106 , 	243 , 	111 , 	822 
District - Perambalur,Total," 	149,401 "," 	135,751 "," 	12,543 ", 	69 , 	377 , 	49 , 	612 
District - Perambalur,Rural," 	124,419 "," 	112,418 "," 	10,978 ", 	65 , 	334 , 	44 , 	580 
District - Perambalur,Urban," 	24,982 "," 	23,333 "," 	1,565 ", 	4 , 	43 , 	5 , 	32 
District - Ariyalur,Total," 	198,106 "," 	177,502 "," 	19,267 ", 	91 , 	312 , 	44 , 	890 
District - Ariyalur,Rural," 	176,818 "," 	158,020 "," 	17,580 ", 	84 , 	299 , 	42 , 	793 
District - Ariyalur,Urban," 	21,288 "," 	19,482 "," 	1,687 ", 	7 , 	13 , 	2 , 	97 
District - Cuddalore,Total," 	637,422 "," 	598,412 "," 	35,580 ", 	302 , 	737 , 	270 ," 	2,121 "
District - Cuddalore,Rural," 	425,191 "," 	399,731 "," 	23,137 ", 	223 , 	484 , 	108 ," 	1,508 "
District - Cuddalore,Urban," 	212,231 "," 	198,681 "," 	12,443 ", 	79 , 	253 , 	162 , 	613 
District - Nagappattinam,Total," 	412,656 "," 	381,940 "," 	28,580 ", 	157 , 	470 , 	108 ," 	1,401 "
District - Nagappattinam,Rural," 	323,340 "," 	298,443 "," 	23,260 ", 	126 , 	348 , 	63 ," 	1,100 "
District - Nagappattinam,Urban," 	89,316 "," 	83,497 "," 	5,320 ", 	31 , 	122 , 	45 , 	301 
District - Thiruvarur,Total," 	327,971 "," 	303,114 "," 	23,155 ", 	134 , 	407 , 	85 ," 	1,076 "
District - Thiruvarur,Rural," 	262,679 "," 	241,813 "," 	19,454 ", 	106 , 	308 , 	66 , 	932 
District - Thiruvarur,Urban," 	65,292 "," 	61,301 "," 	3,701 ", 	28 , 	99 , 	19 , 	144 
District - Thanjavur,Total," 	605,074 "," 	555,582 "," 	45,935 ", 	183 , 	893 , 	134 ," 	2,347 "
District - Thanjavur,Rural," 	391,191 "," 	352,543 "," 	36,038 ", 	136 , 	682 , 	76 ," 	1,716 "
District - Thanjavur,Urban," 	213,883 "," 	203,039 "," 	9,897 ", 	47 , 	211 , 	58 , 	631 
District - Pudukkottai,Total," 	390,628 "," 	354,493 "," 	33,277 ", 	479 , 	534 , 	158 ," 	1,687 "
District - Pudukkottai,Rural," 	312,868 "," 	280,693 "," 	29,596 ", 	446 , 	468 , 	130 ," 	1,535 "
District - Pudukkottai,Urban," 	77,760 "," 	73,800 "," 	3,681 ", 	33 , 	66 , 	28 , 	152 
District - Sivaganga,Total," 	341,960 "," 	314,270 "," 	24,245 ", 	308 , 	717 , 	96 ," 	2,324 "
District - Sivaganga,Rural," 	236,937 "," 	213,642 "," 	20,514 ", 	251 , 	577 , 	84 ," 	1,869 "
District - Sivaganga,Urban," 	105,023 "," 	100,628 "," 	3,731 ", 	57 , 	140 , 	12 , 	455 
District - Madurai,Total," 	797,939 "," 	754,141 "," 	38,103 ", 	375 ," 	1,077 ", 	349 ," 	3,894 "
District - Madurai,Rural," 	319,126 "," 	288,006 "," 	27,338 ", 	178 , 	702 , 	232 ," 	2,670 "
District - Madurai,Urban," 	478,813 "," 	466,135 "," 	10,765 ", 	197 , 	375 , 	117 ," 	1,224 "
District - Theni,Total," 	340,965 "," 	312,310 "," 	25,371 ", 	702 , 	667 , 	241 ," 	1,674 "
District - Theni,Rural," 	158,207 "," 	144,522 "," 	11,839 ", 	602 , 	279 , 	111 , 	854 
District - Theni,Urban," 	182,758 "," 	167,788 "," 	13,532 ", 	100 , 	388 , 	130 , 	820 
District - Virudunagar,Total," 	540,132 "," 	505,950 "," 	30,275 ", 	264 , 	661 , 	324 ," 	2,658 "
District - Virudunagar,Rural," 	266,882 "," 	244,754 "," 	19,656 ", 	155 , 	420 , 	197 ," 	1,700 "
District - Virudunagar,Urban," 	273,250 "," 	261,196 "," 	10,619 ", 	109 , 	241 , 	127 , 	958 
District - Ramanathapuram,Total," 	328,955 "," 	291,400 "," 	33,865 ", 	558 , 	731 , 	198 ," 	2,203 "
District - Ramanathapuram,Rural," 	232,147 "," 	200,496 "," 	28,783 ", 	422 , 	568 , 	148 ," 	1,730 "
District - Ramanathapuram,Urban," 	96,808 "," 	90,904 "," 	5,082 ", 	136 , 	163 , 	50 , 	473 
District - Thoothukkudi,Total," 	464,324 "," 	437,916 "," 	23,139 ", 	205 , 	539 , 	244 ," 	2,281 "
District - Thoothukkudi,Rural," 	239,037 "," 	220,477 "," 	16,426 ", 	81 , 	377 , 	153 ," 	1,523 "
District - Thoothukkudi,Urban," 	225,287 "," 	217,439 "," 	6,713 ", 	124 , 	162 , 	91 , 	758 
District - Tirunelveli,Total," 	820,327 "," 	779,130 "," 	34,486 ", 	374 ," 	1,175 ", 	465 ," 	4,697 "
District - Tirunelveli,Rural," 	422,597 "," 	397,192 "," 	21,466 ", 	209 , 	703 , 	265 ," 	2,762 "
District - Tirunelveli,Urban," 	397,730 "," 	381,938 "," 	13,020 ", 	165 , 	472 , 	200 ," 	1,935 "
District - Kanniyakumari,Total," 	489,201 "," 	465,692 "," 	19,710 ", 	881 , 	876 , 	192 ," 	1,850 "
District - Kanniyakumari,Rural," 	86,390 "," 	81,558 "," 	3,962 ", 	260 , 	195 , 	37 , 	378 
District - Kanniyakumari,Urban," 	402,811 "," 	384,134 "," 	15,748 ", 	621 , 	681 , 	155 ," 	1,472 "
District - Dharmapuri,Total," 	380,924 "," 	337,972 "," 	39,212 ", 	260 , 	986 , 	312 ," 	2,182 "
District - Dharmapuri,Rural," 	315,563 "," 	276,213 "," 	35,876 ", 	232 , 	915 , 	292 ," 	2,035 "
District - Dharmapuri,Urban," 	65,361 "," 	61,759 "," 	3,336 ", 	28 , 	71 , 	20 , 	147 
District - Krishnagiri,Total," 	450,062 "," 	409,237 "," 	36,570 ", 	357 , 	889 , 	253 ," 	2,756 "
District - Krishnagiri,Rural," 	344,807 "," 	307,103 "," 	33,857 ", 	297 , 	811 , 	235 ," 	2,504 "
District - Krishnagiri,Urban," 	105,255 "," 	102,134 "," 	2,713 ", 	60 , 	78 , 	18 , 	252 
District - Coimbatore,Total," 	945,943 "," 	896,325 "," 	44,364 ", 	626 , 	933 , 	395 ," 	3,300 "
District - Coimbatore,Rural," 	237,155 "," 	213,700 "," 	21,342 ", 	141 , 	465 , 	144 ," 	1,363 "
District - Coimbatore,Urban," 	708,788 "," 	682,625 "," 	23,022 ", 	485 , 	468 , 	251 ," 	1,937 "
District - Tiruppur,Total," 	700,706 "," 	655,073 "," 	39,903 ", 	650 ," 	1,088 ", 	275 ," 	3,717 "
District - Tiruppur,Rural," 	283,140 "," 	253,551 "," 	25,788 ", 	532 , 	769 , 	188 ," 	2,312 "
District - Tiruppur,Urban," 	417,566 "," 	401,522 "," 	14,115 ", 	118 , 	319 , 	87 ," 	1,405 "
STATE - TRIPURA,Total," 	842,781 "," 	576,787 "," 	245,373 "," 	15,868 "," 	1,798 ", 	349 ," 	2,606 "
STATE - TRIPURA,Rural," 	607,779 "," 	361,573 "," 	228,953 "," 	13,368 "," 	1,470 ", 	268 ," 	2,147 "
STATE - TRIPURA,Urban," 	235,002 "," 	215,214 "," 	16,420 "," 	2,500 ", 	328 , 	81 , 	459 
District - West Tripura,Total," 	403,470 "," 	314,567 "," 	79,933 "," 	6,697 ", 	930 , 	155 ," 	1,188 "
District - West Tripura,Rural," 	238,261 "," 	161,720 "," 	70,410 "," 	4,521 ", 	683 , 	81 , 	846 
District - West Tripura,Urban," 	165,209 "," 	152,847 "," 	9,523 "," 	2,176 ", 	247 , 	74 , 	342 
District - South Tripura,Total," 	205,283 "," 	133,744 "," 	67,109 "," 	3,185 ", 	387 , 	139 , 	719 
District - South Tripura,Rural," 	173,665 "," 	104,977 "," 	64,531 "," 	3,012 ", 	342 , 	136 , 	667 
District - South Tripura,Urban," 	31,618 "," 	28,767 "," 	2,578 ", 	173 , 	45 , 	3 , 	52 
District - Dhalai,Total," 	83,097 "," 	46,875 "," 	32,206 "," 	3,514 ", 	129 , 	21 , 	352 
District - Dhalai,Rural," 	73,160 "," 	37,846 "," 	31,377 "," 	3,487 ", 	115 , 	20 , 	315 
District - Dhalai,Urban," 	9,937 "," 	9,029 ", 	829 , 	27 , 	14 , 	1 , 	37 
District - North Tripura,Total," 	150,931 "," 	81,601 "," 	66,125 "," 	2,472 ", 	352 , 	34 , 	347 
District - North Tripura,Rural," 	122,693 "," 	57,030 "," 	62,635 "," 	2,348 ", 	330 , 	31 , 	319 
District - North Tripura,Urban," 	28,238 "," 	24,571 "," 	3,490 ", 	124 , 	22 , 	3 , 	28 
STATE - UTTAR PRADESH,Total," 	32,924,266 "," 	12,120,231 "," 	20,394,022 "," 	156,837 "," 	90,636 "," 	95,304 "," 	67,236 "
STATE - UTTAR PRADESH,Rural," 	25,475,071 "," 	6,054,978 "," 	19,111,021 "," 	141,108 "," 	72,589 "," 	59,296 "," 	36,079 "
STATE - UTTAR PRADESH,Urban," 	7,449,195 "," 	6,065,253 "," 	1,283,001 "," 	15,729 "," 	18,047 "," 	36,008 "," 	31,157 "
District - Saharanpur,Total," 	588,976 "," 	404,499 "," 	178,691 "," 	1,479 "," 	1,144 "," 	1,837 "," 	1,326 "
District - Saharanpur,Rural," 	404,600 "," 	238,023 "," 	163,317 ", 	928 , 	801 , 	824 , 	707 
District - Saharanpur,Urban," 	184,376 "," 	166,476 "," 	15,374 ", 	551 , 	343 ," 	1,013 ", 	619 
District - Muzaffarnagar,Total," 	681,387 "," 	368,153 "," 	301,293 "," 	2,002 "," 	2,763 "," 	5,491 "," 	1,685 "
District - Muzaffarnagar,Rural," 	481,057 "," 	206,251 "," 	267,445 "," 	1,560 "," 	1,872 "," 	3,208 ", 	721 
District - Muzaffarnagar,Urban," 	200,330 "," 	161,902 "," 	33,848 ", 	442 , 	891 ," 	2,283 ", 	964 
District - Bijnor,Total," 	628,808 "," 	268,353 "," 	352,866 "," 	1,884 "," 	1,999 "," 	2,738 ", 	968 
District - Bijnor,Rural," 	476,873 "," 	155,714 "," 	315,132 "," 	1,657 "," 	1,533 "," 	2,139 ", 	698 
District - Bijnor,Urban," 	151,935 "," 	112,639 "," 	37,734 ", 	227 , 	466 , 	599 , 	270 
District - Moradabad,Total," 	784,739 "," 	281,758 "," 	481,235 "," 	5,852 "," 	3,911 "," 	9,725 "," 	2,258 "
District - Moradabad,Rural," 	520,831 "," 	74,706 "," 	429,581 "," 	5,225 "," 	3,107 "," 	7,266 ", 	946 
District - Moradabad,Urban," 	263,908 "," 	207,052 "," 	51,654 ", 	627 , 	804 ," 	2,459 "," 	1,312 "
District - Rampur,Total," 	393,441 "," 	131,112 "," 	255,072 "," 	2,444 "," 	1,107 "," 	3,051 ", 	655 
District - Rampur,Rural," 	291,440 "," 	51,555 "," 	234,232 "," 	2,321 ", 	958 ," 	2,032 ", 	342 
District - Rampur,Urban," 	102,001 "," 	79,557 "," 	20,840 ", 	123 , 	149 ," 	1,019 ", 	313 
District - Jyotiba Phule Nagar,Total," 	312,836 "," 	89,329 "," 	217,330 "," 	3,270 "," 	1,180 "," 	1,304 ", 	423 
District - Jyotiba Phule Nagar,Rural," 	234,453 "," 	30,041 "," 	199,410 "," 	3,131 ", 	920 , 	820 , 	131 
District - Jyotiba Phule Nagar,Urban," 	78,383 "," 	59,288 "," 	17,920 ", 	139 , 	260 , 	484 , 	292 
District - Meerut,Total," 	568,745 "," 	425,624 "," 	134,793 "," 	1,419 "," 	1,693 "," 	3,074 "," 	2,142 "
District - Meerut,Rural," 	268,299 "," 	152,588 "," 	112,389 ", 	676 ," 	1,084 ", 	981 , 	581 
District - Meerut,Urban," 	300,446 "," 	273,036 "," 	22,404 ", 	743 , 	609 ," 	2,093 "," 	1,561 "
District - Baghpat,Total," 	207,090 "," 	119,121 "," 	84,780 ", 	592 , 	678 ," 	1,449 ", 	470 
District - Baghpat,Rural," 	162,811 "," 	83,031 "," 	77,373 ", 	519 , 	560 ," 	1,046 ", 	282 
District - Baghpat,Urban," 	44,279 "," 	36,090 "," 	7,407 ", 	73 , 	118 , 	403 , 	188 
District - Ghaziabad,Total," 	829,843 "," 	695,130 "," 	116,817 "," 	2,220 "," 	2,537 "," 	9,572 "," 	3,567 "
District - Ghaziabad,Rural," 	242,727 "," 	156,476 "," 	83,288 ", 	522 , 	691 ," 	1,140 ", 	610 
District - Ghaziabad,Urban," 	587,116 "," 	538,654 "," 	33,529 "," 	1,698 "," 	1,846 "," 	8,432 "," 	2,957 "
District - Gautam Buddha Nagar,Total," 	316,278 "," 	257,586 "," 	54,675 ", 	470 , 	679 ," 	2,123 ", 	745 
District - Gautam Buddha Nagar,Rural," 	109,179 "," 	62,298 "," 	44,777 ", 	328 , 	336 ," 	1,078 ", 	362 
District - Gautam Buddha Nagar,Urban," 	207,099 "," 	195,288 "," 	9,898 ", 	142 , 	343 ," 	1,045 ", 	383 
District - Bulandshahr,Total," 	582,676 "," 	223,922 "," 	352,339 "," 	1,404 "," 	1,475 "," 	2,439 "," 	1,097 "
District - Bulandshahr,Rural," 	438,742 "," 	113,132 "," 	320,545 "," 	1,226 "," 	1,247 "," 	1,968 ", 	624 
District - Bulandshahr,Urban," 	143,934 "," 	110,790 "," 	31,794 ", 	178 , 	228 , 	471 , 	473 
District - Aligarh,Total," 	604,612 "," 	268,120 "," 	328,000 "," 	2,262 "," 	2,083 "," 	1,576 "," 	2,571 "
District - Aligarh,Rural," 	406,432 "," 	107,935 "," 	293,301 "," 	1,752 "," 	1,359 ", 	903 ," 	1,182 "
District - Aligarh,Urban," 	198,180 "," 	160,185 "," 	34,699 ", 	510 , 	724 , 	673 ," 	1,389 "
District - Mahamaya Nagar,Total," 	259,914 "," 	134,579 "," 	121,941 ", 	983 , 	619 , 	702 ," 	1,090 "
District - Mahamaya Nagar,Rural," 	204,968 "," 	88,362 "," 	114,070 ", 	862 , 	515 , 	388 , 	771 
District - Mahamaya Nagar,Urban," 	54,946 "," 	46,217 "," 	7,871 ", 	121 , 	104 , 	314 , 	319 
District - Mathura,Total," 	410,783 "," 	281,239 "," 	125,175 "," 	1,331 ", 	772 , 	762 ," 	1,504 "
District - Mathura,Rural," 	290,944 "," 	170,339 "," 	117,532 "," 	1,023 ", 	568 , 	548 , 	934 
District - Mathura,Urban," 	119,839 "," 	110,900 "," 	7,643 ", 	308 , 	204 , 	214 , 	570 
District - Agra,Total," 	672,610 "," 	536,402 "," 	128,486 "," 	1,722 "," 	1,589 "," 	2,100 "," 	2,311 "
District - Agra,Rural," 	367,102 "," 	249,186 "," 	114,293 ", 	830 ," 	1,146 ", 	851 , 	796 
District - Agra,Urban," 	305,508 "," 	287,216 "," 	14,193 ", 	892 , 	443 ," 	1,249 "," 	1,515 "
District - Firozabad,Total," 	412,147 "," 	196,080 "," 	209,517 "," 	1,308 "," 	1,797 "," 	1,448 "," 	1,997 "
District - Firozabad,Rural," 	271,428 "," 	79,452 "," 	188,311 ", 	851 ," 	1,343 ", 	656 , 	815 
District - Firozabad,Urban," 	140,719 "," 	116,628 "," 	21,206 ", 	457 , 	454 , 	792 ," 	1,182 "
District - Mainpuri,Total," 	311,184 "," 	79,022 "," 	228,222 "," 	1,527 "," 	1,220 ", 	616 , 	577 
District - Mainpuri,Rural," 	262,409 "," 	43,084 "," 	216,063 "," 	1,458 "," 	1,048 ", 	442 , 	314 
District - Mainpuri,Urban," 	48,775 "," 	35,938 "," 	12,159 ", 	69 , 	172 , 	174 , 	263 
District - Budaun,Total," 	610,904 "," 	110,177 "," 	494,876 "," 	1,514 "," 	1,964 "," 	1,376 ", 	997 
District - Budaun,Rural," 	501,193 "," 	45,865 "," 	450,430 "," 	1,390 "," 	1,691 "," 	1,147 ", 	670 
District - Budaun,Urban," 	109,711 "," 	64,312 "," 	44,446 ", 	124 , 	273 , 	229 , 	327 
District - Bareilly,Total," 	746,222 "," 	272,830 "," 	462,288 "," 	3,879 "," 	2,726 "," 	2,776 "," 	1,723 "
District - Bareilly,Rural," 	475,575 "," 	68,497 "," 	399,419 "," 	3,465 "," 	2,097 "," 	1,693 ", 	404 
District - Bareilly,Urban," 	270,647 "," 	204,333 "," 	62,869 ", 	414 , 	629 ," 	1,083 "," 	1,319 "
District - Pilibhit,Total," 	361,470 "," 	83,006 "," 	273,222 "," 	2,380 "," 	1,333 "," 	1,103 ", 	426 
District - Pilibhit,Rural," 	297,601 "," 	41,713 "," 	251,341 "," 	2,280 "," 	1,151 ", 	831 , 	285 
District - Pilibhit,Urban," 	63,869 "," 	41,293 "," 	21,881 ", 	100 , 	182 , 	272 , 	141 
District - Shahjahanpur,Total," 	518,201 "," 	115,163 "," 	396,645 "," 	1,796 "," 	2,712 "," 	1,044 ", 	841 
District - Shahjahanpur,Rural," 	418,787 "," 	48,851 "," 	364,626 "," 	1,683 "," 	2,252 ", 	826 , 	549 
District - Shahjahanpur,Urban," 	99,414 "," 	66,312 "," 	32,019 ", 	113 , 	460 , 	218 , 	292 
District - Kheri,Total," 	710,036 "," 	122,761 "," 	579,441 "," 	4,640 "," 	1,348 ", 	813 ," 	1,033 "
District - Kheri,Rural," 	630,131 "," 	72,547 "," 	550,379 "," 	4,569 "," 	1,265 ", 	697 , 	674 
District - Kheri,Urban," 	79,905 "," 	50,214 "," 	29,062 ", 	71 , 	83 , 	116 , 	359 
District - Sitapur,Total," 	793,861 "," 	102,040 "," 	682,137 "," 	6,450 "," 	1,426 "," 	1,040 ", 	768 
District - Sitapur,Rural," 	710,299 "," 	50,626 "," 	650,747 "," 	6,287 "," 	1,251 ", 	828 , 	560 
District - Sitapur,Urban," 	83,562 "," 	51,414 "," 	31,390 ", 	163 , 	175 , 	212 , 	208 
District - Hardoi,Total," 	708,721 "," 	95,508 "," 	600,911 "," 	8,156 "," 	2,159 "," 	1,124 ", 	863 
District - Hardoi,Rural," 	619,495 "," 	40,517 "," 	567,669 "," 	7,992 "," 	1,929 ", 	989 , 	399 
District - Hardoi,Urban," 	89,226 "," 	54,991 "," 	33,242 ", 	164 , 	230 , 	135 , 	464 
District - Unnao,Total," 	567,491 "," 	99,466 "," 	460,863 "," 	4,013 "," 	1,546 "," 	1,097 ", 	506 
District - Unnao,Rural," 	475,335 "," 	40,071 "," 	428,945 "," 	3,828 "," 	1,301 ", 	844 , 	346 
District - Unnao,Urban," 	92,156 "," 	59,395 "," 	31,918 ", 	185 , 	245 , 	253 , 	160 
District - Lucknow,Total," 	822,591 "," 	582,769 "," 	228,994 "," 	1,823 "," 	1,924 "," 	2,208 "," 	4,873 "
District - Lucknow,Rural," 	274,212 "," 	82,809 "," 	186,562 ", 	960 , 	962 , 	811 ," 	2,108 "
District - Lucknow,Urban," 	548,379 "," 	499,960 "," 	42,432 ", 	863 , 	962 ," 	1,397 "," 	2,765 "
District - Rae Bareli,Total," 	614,353 "," 	247,856 "," 	362,374 "," 	1,461 "," 	1,237 ", 	655 , 	770 
District - Rae Bareli,Rural," 	561,905 "," 	208,280 "," 	349,962 "," 	1,401 "," 	1,149 ", 	603 , 	510 
District - Rae Bareli,Urban," 	52,448 "," 	39,576 "," 	12,412 ", 	60 , 	88 , 	52 , 	260 
District - Farrukhabad,Total," 	308,056 "," 	88,081 "," 	215,435 "," 	1,987 "," 	1,235 ", 	499 , 	819 
District - Farrukhabad,Rural," 	239,285 "," 	37,592 "," 	197,834 "," 	1,838 "," 	1,058 ", 	435 , 	528 
District - Farrukhabad,Urban," 	68,771 "," 	50,489 "," 	17,601 ", 	149 , 	177 , 	64 , 	291 
District - Kannauj,Total," 	278,738 "," 	61,491 "," 	212,365 "," 	3,099 ", 	812 , 	526 , 	445 
District - Kannauj,Rural," 	232,517 "," 	32,959 "," 	195,245 "," 	2,991 ", 	635 , 	443 , 	244 
District - Kannauj,Urban," 	46,221 "," 	28,532 "," 	17,120 ", 	108 , 	177 , 	83 , 	201 
District - Etawah,Total," 	275,333 "," 	113,098 "," 	159,324 ", 	989 , 	601 , 	719 , 	602 
District - Etawah,Rural," 	214,002 "," 	62,607 "," 	149,113 ", 	937 , 	477 , 	513 , 	355 
District - Etawah,Urban," 	61,331 "," 	50,491 "," 	10,211 ", 	52 , 	124 , 	206 , 	247 
District - Auraiya,Total," 	248,370 "," 	65,479 "," 	180,704 "," 	1,086 ", 	538 , 	379 , 	184 
District - Auraiya,Rural," 	207,674 "," 	36,356 "," 	169,287 "," 	1,049 ", 	493 , 	326 , 	163 
District - Auraiya,Urban," 	40,696 "," 	29,123 "," 	11,417 ", 	37 , 	45 , 	53 , 	21 
District - Kanpur Dehat,Total," 	329,473 "," 	49,753 "," 	276,147 "," 	2,220 ", 	657 , 	406 , 	290 
District - Kanpur Dehat,Rural," 	299,000 "," 	31,953 "," 	263,757 "," 	2,176 ", 	535 , 	323 , 	256 
District - Kanpur Dehat,Urban," 	30,473 "," 	17,800 "," 	12,390 ", 	44 , 	122 , 	83 , 	34 
District - Kanpur Nagar,Total," 	821,148 "," 	517,271 "," 	292,549 "," 	3,689 "," 	1,719 "," 	2,863 "," 	3,057 "
District - Kanpur Nagar,Rural," 	291,529 "," 	45,767 "," 	241,586 "," 	2,570 ", 	692 , 	511 , 	403 
District - Kanpur Nagar,Urban," 	529,619 "," 	471,504 "," 	50,963 "," 	1,119 "," 	1,027 "," 	2,352 "," 	2,654 "
District - Jalaun,Total," 	287,219 "," 	104,176 "," 	180,037 "," 	1,136 ", 	993 , 	458 , 	419 
District - Jalaun,Rural," 	216,920 "," 	56,528 "," 	158,085 "," 	1,042 ", 	799 , 	323 , 	143 
District - Jalaun,Urban," 	70,299 "," 	47,648 "," 	21,952 ", 	94 , 	194 , 	135 , 	276 
District - Jhansi,Total," 	358,220 "," 	183,340 "," 	170,424 "," 	1,489 "," 	1,016 ", 	878 ," 	1,073 "
District - Jhansi,Rural," 	214,711 "," 	64,582 "," 	147,459 "," 	1,164 ", 	601 , 	449 , 	456 
District - Jhansi,Urban," 	143,509 "," 	118,758 "," 	22,965 ", 	325 , 	415 , 	429 , 	617 
District - Lalitpur,Total," 	217,878 "," 	77,082 "," 	137,411 "," 	2,057 ", 	754 , 	214 , 	360 
District - Lalitpur,Rural," 	186,503 "," 	51,898 "," 	131,505 "," 	2,017 ", 	704 , 	136 , 	243 
District - Lalitpur,Urban," 	31,375 "," 	25,184 "," 	5,906 ", 	40 , 	50 , 	78 , 	117 
District - Hamirpur,Total," 	209,558 "," 	55,929 "," 	151,726 ", 	860 , 	546 , 	301 , 	196 
District - Hamirpur,Rural," 	171,971 "," 	31,200 "," 	139,263 ", 	801 , 	408 , 	231 , 	68 
District - Hamirpur,Urban," 	37,587 "," 	24,729 "," 	12,463 ", 	59 , 	138 , 	70 , 	128 
District - Mahoba,Total," 	163,474 "," 	42,936 "," 	118,553 "," 	1,262 ", 	313 , 	282 , 	128 
District - Mahoba,Rural," 	129,475 "," 	23,020 "," 	104,821 "," 	1,151 ", 	271 , 	139 , 	73 
District - Mahoba,Urban," 	33,999 "," 	19,916 "," 	13,732 ", 	111 , 	42 , 	143 , 	55 
District - Banda,Total," 	322,737 "," 	73,522 "," 	246,310 "," 	1,685 ", 	676 , 	413 , 	131 
District - Banda,Rural," 	273,445 "," 	38,841 "," 	231,961 "," 	1,610 ", 	598 , 	351 , 	84 
District - Banda,Urban," 	49,292 "," 	34,681 "," 	14,349 ", 	75 , 	78 , 	62 , 	47 
District - Chitrakoot,Total," 	167,458 "," 	41,046 "," 	124,739 "," 	1,058 ", 	298 , 	195 , 	122 
District - Chitrakoot,Rural," 	150,784 "," 	29,693 "," 	119,577 ", 	981 , 	251 , 	170 , 	112 
District - Chitrakoot,Urban," 	16,674 "," 	11,353 "," 	5,162 ", 	77 , 	47 , 	25 , 	10 
District - Fatehpur,Total," 	473,021 "," 	75,263 "," 	393,199 "," 	2,488 ", 	621 , 	912 , 	538 
District - Fatehpur,Rural," 	416,615 "," 	38,771 "," 	373,839 "," 	2,347 ", 	476 , 	782 , 	400 
District - Fatehpur,Urban," 	56,406 "," 	36,492 "," 	19,360 ", 	141 , 	145 , 	130 , 	138 
District - Pratapgarh,Total," 	534,254 "," 	140,538 "," 	389,212 "," 	2,102 "," 	1,093 ", 	665 , 	644 
District - Pratapgarh,Rural," 	506,922 "," 	119,440 "," 	383,173 "," 	2,038 "," 	1,068 ", 	605 , 	598 
District - Pratapgarh,Urban," 	27,332 "," 	21,098 "," 	6,039 ", 	64 , 	25 , 	60 , 	46 
District - Kaushambi,Total," 	276,393 "," 	43,753 "," 	230,251 "," 	1,117 ", 	726 , 	254 , 	292 
District - Kaushambi,Rural," 	254,926 "," 	31,977 "," 	220,864 "," 	1,070 ", 	631 , 	228 , 	156 
District - Kaushambi,Urban," 	21,467 "," 	11,776 "," 	9,387 ", 	47 , 	95 , 	26 , 	136 
District - Allahabad,Total," 	898,553 "," 	391,542 "," 	497,561 "," 	3,460 "," 	2,225 "," 	1,805 "," 	1,960 "
