Name,Type,Total,Electricity,Kerosene,Solar,OtherOil,Other,None
District - Upper Siang,Total," 	7,186 "," 	6,198 ", 	161 , 	467 , 	20 , 	229 , 	111 
District - Upper Siang,Rural," 	5,652 "," 	4,692 ", 	147 , 	463 , 	20 , 	227 , 	103 
District - Upper Siang,Urban," 	1,534 "," 	1,506 ", 	14 , 	4 , 	-00 , 	2 , 	8 
District - Changlang,Total," 	28,428 "," 	14,593 "," 	11,907 ", 	224 , 	39 , 	202 ," 	1,463 "
District - Changlang,Rural," 	24,444 "," 	10,913 "," 	11,670 ", 	222 , 	37 , 	180 ," 	1,422 "
District - Changlang,Urban," 	3,984 "," 	3,680 ", 	237 , 	2 , 	2 , 	22 , 	41 
District - Tirap,Total," 	19,485 "," 	16,026 "," 	2,275 ", 	60 , 	21 , 	104 , 	999 
District - Tirap,Rural," 	15,458 "," 	12,127 "," 	2,180 ", 	58 , 	17 , 	95 , 	981 
District - Tirap,Urban," 	4,027 "," 	3,899 ", 	95 , 	2 , 	4 , 	9 , 	18 
District - Lower Subansiri,Total," 	15,134 "," 	12,493 ", 	979 , 	17 , 	20 , 	445 ," 	1,180 "
District - Lower Subansiri,Rural," 	12,066 "," 	9,450 ", 	970 , 	17 , 	20 , 	429 ," 	1,180 "
District - Lower Subansiri,Urban," 	3,068 "," 	3,043 ", 	9 , 	-00 , 	-00 , 	16 , 	-00 
District - Kurung Kumey,Total," 	15,962 "," 	3,911 "," 	1,531 ", 	869 , 	79 , 	720 ," 	8,852 "
District - Kurung Kumey,Rural," 	15,417 "," 	3,413 "," 	1,499 ", 	869 , 	65 , 	720 ," 	8,851 "
District - Kurung Kumey,Urban, 	545 , 	498 , 	32 , 	-00 , 	14 , 	-00 , 	1 
District - Dibang Valley,Total," 	1,871 "," 	1,074 ", 	200 , 	213 , 	28 , 	49 , 	307 
District - Dibang Valley,Rural," 	1,297 ", 	524 , 	176 , 	213 , 	28 , 	49 , 	307 
District - Dibang Valley,Urban, 	574 , 	550 , 	24 , 	-00 , 	-00 , 	-00 , 	-00 
District - Lower Dibang Valley,Total," 	10,883 "," 	5,932 "," 	3,189 "," 	1,223 ", 	94 , 	105 , 	340 
District - Lower Dibang Valley,Rural," 	8,626 "," 	3,737 "," 	3,141 "," 	1,222 ", 	83 , 	105 , 	338 
District - Lower Dibang Valley,Urban," 	2,257 "," 	2,195 ", 	48 , 	1 , 	11 , 	-00 , 	2 
District - Lohit,Total," 	29,407 "," 	17,157 "," 	11,350 ", 	40 , 	88 , 	34 , 	738 
District - Lohit,Rural," 	22,412 "," 	10,984 "," 	10,637 ", 	38 , 	86 , 	31 , 	636 
District - Lohit,Urban," 	6,995 "," 	6,173 ", 	713 , 	2 , 	2 , 	3 , 	102 
District - Anjaw,Total," 	4,180 "," 	1,949 ", 	830 ," 	1,015 ", 	54 , 	98 , 	234 
District - Anjaw,Rural," 	4,060 "," 	1,830 ", 	829 ," 	1,015 ", 	54 , 	98 , 	234 
District - Anjaw,Urban, 	120 , 	119 , 	1 , 	-00 , 	-00 , 	-00 , 	-00 
STATE - ASSAM,Total," 	6,367,295 "," 	2,358,900 "," 	3,933,309 "," 	49,218 "," 	8,482 "," 	4,266 "," 	13,120 "
STATE - ASSAM,Rural," 	5,374,553 "," 	1,524,221 "," 	3,782,653 "," 	46,529 "," 	7,465 "," 	3,464 "," 	10,221 "
STATE - ASSAM,Urban," 	992,742 "," 	834,679 "," 	150,656 "," 	2,689 "," 	1,017 ", 	802 ," 	2,899 "
District - Kokrajhar,Total," 	180,071 "," 	41,373 "," 	136,738 ", 	900 , 	563 , 	60 , 	437 
District - Kokrajhar,Rural," 	168,278 "," 	31,270 "," 	135,120 ", 	894 , 	559 , 	52 , 	383 
District - Kokrajhar,Urban," 	11,793 "," 	10,103 "," 	1,618 ", 	6 , 	4 , 	8 , 	54 
District - Dhubri,Total," 	414,689 "," 	72,232 "," 	338,150 "," 	3,422 ", 	170 , 	159 , 	556 
District - Dhubri,Rural," 	370,734 "," 	42,819 "," 	323,840 "," 	3,353 ", 	160 , 	135 , 	427 
District - Dhubri,Urban," 	43,955 "," 	29,413 "," 	14,310 ", 	69 , 	10 , 	24 , 	129 
District - Goalpara,Total," 	197,545 "," 	78,641 "," 	116,180 "," 	1,980 ", 	222 , 	125 , 	397 
District - Goalpara,Rural," 	168,874 "," 	60,084 "," 	106,336 "," 	1,850 ", 	204 , 	105 , 	295 
District - Goalpara,Urban," 	28,671 "," 	18,557 "," 	9,844 ", 	130 , 	18 , 	20 , 	102 
District - Barpeta,Total," 	338,472 "," 	84,804 "," 	249,912 "," 	2,714 ", 	289 , 	348 , 	405 
District - Barpeta,Rural," 	306,688 "," 	59,473 "," 	243,708 "," 	2,678 ", 	276 , 	214 , 	339 
District - Barpeta,Urban," 	31,784 "," 	25,331 "," 	6,204 ", 	36 , 	13 , 	134 , 	66 
District - Marigaon,Total," 	185,523 "," 	52,404 "," 	131,065 "," 	1,294 ", 	444 , 	126 , 	190 
District - Marigaon,Rural," 	169,007 "," 	39,942 "," 	127,097 "," 	1,277 ", 	415 , 	110 , 	166 
District - Marigaon,Urban," 	16,516 "," 	12,462 "," 	3,968 ", 	17 , 	29 , 	16 , 	24 
District - Nagaon,Total," 	560,857 "," 	195,631 "," 	360,954 "," 	2,418 ", 	558 , 	405 , 	891 
District - Nagaon,Rural," 	480,208 "," 	132,395 "," 	344,347 "," 	2,025 ", 	414 , 	301 , 	726 
District - Nagaon,Urban," 	80,649 "," 	63,236 "," 	16,607 ", 	393 , 	144 , 	104 , 	165 
District - Sonitpur,Total," 	386,899 "," 	133,368 "," 	250,342 "," 	1,600 ", 	548 , 	173 , 	868 
District - Sonitpur,Rural," 	346,401 "," 	97,988 "," 	245,446 "," 	1,540 ", 	508 , 	155 , 	764 
District - Sonitpur,Urban," 	40,498 "," 	35,380 "," 	4,896 ", 	60 , 	40 , 	18 , 	104 
District - Lakhimpur,Total," 	203,272 "," 	60,296 "," 	140,396 "," 	2,116 ", 	213 , 	78 , 	173 
District - Lakhimpur,Rural," 	181,790 "," 	43,150 "," 	136,138 "," 	2,101 ", 	180 , 	66 , 	155 
District - Lakhimpur,Urban," 	21,482 "," 	17,146 "," 	4,258 ", 	15 , 	33 , 	12 , 	18 
District - Dhemaji,Total," 	129,559 "," 	28,195 "," 	98,218 "," 	2,720 ", 	80 , 	52 , 	294 
District - Dhemaji,Rural," 	119,112 "," 	20,336 "," 	95,696 "," 	2,700 ", 	71 , 	51 , 	258 
District - Dhemaji,Urban," 	10,447 "," 	7,859 "," 	2,522 ", 	20 , 	9 , 	1 , 	36 
District - Tinsukia,Total," 	268,383 "," 	161,718 "," 	104,908 ", 	519 , 	439 , 	239 , 	560 
District - Tinsukia,Rural," 	209,603 "," 	110,129 "," 	98,002 ", 	453 , 	396 , 	177 , 	446 
District - Tinsukia,Urban," 	58,780 "," 	51,589 "," 	6,906 ", 	66 , 	43 , 	62 , 	114 
District - Dibrugarh,Total," 	272,941 "," 	136,685 "," 	134,603 ", 	546 , 	201 , 	191 , 	715 
District - Dibrugarh,Rural," 	218,256 "," 	86,792 "," 	130,117 ", 	489 , 	146 , 	170 , 	542 
District - Dibrugarh,Urban," 	54,685 "," 	49,893 "," 	4,486 ", 	57 , 	55 , 	21 , 	173 
District - Sivasagar,Total," 	246,983 "," 	123,430 "," 	121,639 ", 	989 , 	238 , 	171 , 	516 
District - Sivasagar,Rural," 	220,760 "," 	99,787 "," 	119,174 ", 	954 , 	220 , 	154 , 	471 
District - Sivasagar,Urban," 	26,223 "," 	23,643 "," 	2,465 ", 	35 , 	18 , 	17 , 	45 
District - Jorhat,Total," 	233,118 "," 	122,063 "," 	108,612 "," 	1,570 ", 	157 , 	113 , 	603 
District - Jorhat,Rural," 	181,811 "," 	77,520 "," 	102,159 "," 	1,526 ", 	138 , 	86 , 	382 
District - Jorhat,Urban," 	51,307 "," 	44,543 "," 	6,453 ", 	44 , 	19 , 	27 , 	221 
District - Golaghat,Total," 	224,853 "," 	82,345 "," 	140,358 "," 	1,533 ", 	145 , 	119 , 	353 
District - Golaghat,Rural," 	202,469 "," 	62,385 "," 	137,994 "," 	1,520 ", 	125 , 	108 , 	337 
District - Golaghat,Urban," 	22,384 "," 	19,960 "," 	2,364 ", 	13 , 	20 , 	11 , 	16 
District - Karbi Anglong,Total," 	176,991 "," 	53,918 "," 	112,888 "," 	8,457 ", 	734 , 	602 , 	392 
District - Karbi Anglong,Rural," 	152,873 "," 	34,545 "," 	108,313 "," 	8,374 ", 	701 , 	594 , 	346 
District - Karbi Anglong,Urban," 	24,118 "," 	19,373 "," 	4,575 ", 	83 , 	33 , 	8 , 	46 
District - Dima Hasao,Total," 	42,888 "," 	19,389 "," 	21,735 "," 	1,627 ", 	18 , 	20 , 	99 
District - Dima Hasao,Rural," 	29,499 "," 	7,238 "," 	20,607 "," 	1,556 ", 	14 , 	17 , 	67 
District - Dima Hasao,Urban," 	13,389 "," 	12,151 "," 	1,128 ", 	71 , 	4 , 	3 , 	32 
District - Cachar,Total," 	368,043 "," 	140,205 "," 	221,411 "," 	4,159 ", 	952 , 	257 ," 	1,059 "
District - Cachar,Rural," 	299,194 "," 	85,408 "," 	208,573 "," 	3,579 ", 	836 , 	157 , 	641 
District - Cachar,Urban," 	68,849 "," 	54,797 "," 	12,838 ", 	580 , 	116 , 	100 , 	418 
District - Karimganj,Total," 	247,247 "," 	70,951 "," 	172,861 "," 	2,001 ", 	847 , 	104 , 	483 
District - Karimganj,Rural," 	223,720 "," 	52,373 "," 	168,380 "," 	1,611 ", 	821 , 	95 , 	440 
District - Karimganj,Urban," 	23,527 "," 	18,578 "," 	4,481 ", 	390 , 	26 , 	9 , 	43 
District - Hailakandi,Total," 	143,567 "," 	44,143 "," 	98,210 ", 	864 , 	69 , 	35 , 	246 
District - Hailakandi,Rural," 	133,055 "," 	35,276 "," 	96,708 ", 	797 , 	51 , 	29 , 	194 
District - Hailakandi,Urban," 	10,512 "," 	8,867 "," 	1,502 ", 	67 , 	18 , 	6 , 	52 
District - Bongaigaon,Total," 	150,287 "," 	49,866 "," 	99,769 ", 	324 , 	42 , 	74 , 	212 
District - Bongaigaon,Rural," 	124,874 "," 	29,347 "," 	95,012 ", 	286 , 	29 , 	56 , 	144 
District - Bongaigaon,Urban," 	25,413 "," 	20,519 "," 	4,757 ", 	38 , 	13 , 	18 , 	68 
District - Chirang,Total," 	97,259 "," 	22,502 "," 	71,963 "," 	1,534 ", 	215 , 	47 , 	998 
District - Chirang,Rural," 	89,657 "," 	17,460 "," 	69,506 "," 	1,488 ", 	199 , 	43 , 	961 
District - Chirang,Urban," 	7,602 "," 	5,042 "," 	2,457 ", 	46 , 	16 , 	4 , 	37 
District - Kamrup,Total," 	305,342 "," 	122,191 "," 	180,794 "," 	1,412 ", 	210 , 	254 , 	481 
District - Kamrup,Rural," 	274,590 "," 	97,752 "," 	174,649 "," 	1,391 ", 	197 , 	224 , 	377 
District - Kamrup,Urban," 	30,752 "," 	24,439 "," 	6,145 ", 	21 , 	13 , 	30 , 	104 
District - Kamrup Metropolitan,Total," 	290,388 "," 	250,861 "," 	37,641 ", 	531 , 	341 , 	172 , 	842 
District - Kamrup Metropolitan,Rural," 	42,247 "," 	21,856 "," 	19,903 ", 	163 , 	102 , 	51 , 	172 
District - Kamrup Metropolitan,Urban," 	248,141 "," 	229,005 "," 	17,738 ", 	368 , 	239 , 	121 , 	670 
District - Nalbari,Total," 	155,352 "," 	68,313 "," 	86,075 ", 	533 , 	166 , 	76 , 	189 
District - Nalbari,Rural," 	137,639 "," 	54,378 "," 	82,401 ", 	516 , 	123 , 	65 , 	156 
District - Nalbari,Urban," 	17,713 "," 	13,935 "," 	3,674 ", 	17 , 	43 , 	11 , 	33 
District - Baksa,Total," 	190,667 "," 	44,425 "," 	144,107 "," 	1,017 ", 	436 , 	96 , 	586 
District - Baksa,Rural," 	188,191 "," 	42,785 "," 	143,273 "," 	1,016 ", 	436 , 	96 , 	585 
District - Baksa,Urban," 	2,476 "," 	1,640 ", 	834 , 	1 , 	-00 , 	-00 , 	1 
